undergrad_uni,undergrad_uni_tier
"M.S Bidve Engineering college ,Latur",3
krishna institute of engineering and technology,3
Vivekananda Institute Of Professional Studies,3
"GTU, Ahmedabad",3
Sanghvi Innovative Academy,3
University of Mysore,2
Shri S'ad Vidya Mandal Institute of Technology,3
Coimbatore Institute of Engineering and Technology,3
KCCOE,3
Gyan ganga institute of science and technology,3
Sri Krishna college of technology ,3
"JNTU, Kakinada",2
Dr.lankapalli Bullayya collage of engineering,3
Malla Reddy Institute Of Technology and Science,3
Dr Ambedkar institute of technology,3
The Oxford Dental College,3
inderprastha engineering college,3
"College Of Technology, GBPUAT",2
"Medi-Caps University, Indore",3
ideal institute of technology,3
kl University,2
Shiv Nadar University,2
Karnavati university,3
Amrita vishwa vidyapeetha,2
Government Engineering College Kozhikode,2
Malineni lakshmaiah women's engineering college,3
JSS Academy Of Technical Education,3
Aditya College Of Engineering and Technology,3
Aurora's degree & PG college ,3
RNSIT,3
saint john,3
Veermata jijabai technical institute,2
"T john institute of Technology, Bangalore",3
Chapman University,2
Vardhaman College of Engineering,3
Dr M G R Educational and Research Institute ,3
"Pune University, Pune",2
pandit deendayal petroleum university,2
Hindustan Institute of Technology and Science,3
IIT Patna,1
"SRM University , Chennai, Chennai",2
Sanghavi Collage of Engineering,3
sarvajanik college of engineering and technology,3
Pune Vidyarthi Griha's College of Engineering,3
George Mason University,2
"Fr. Conceicao Rodrigues Institute of Technology, Vashi",3
"Birla institute of technology,mesra",2
"uiet,mdu",3
MIT ADT University,3
"Indian Institute of Information Technology, Lucknow",2
J.B. Institute of Engineering and Technology,3
"Indian Institute of Information Technology Design and Manufacturing, Jabalpur",2
K.J.Somaiya college of engineering,2
A. D. Patel Institute Of Technology,3
BMS Institute of Technology and Management ,2
SRTIST,3
Medicaps University,3
G.B. Pant Govt. Engineering College,3
"Annamacharya Institute of Technology, Rajampet",3
"Amrit Campus, Tribhuvan University",2
Sri Sairam engineering college,3
Iet Lucknow,2
siliguri institute of technology,3
karunya instute of technilogy and sciences,3
"Al Habeeb College Of Engineering And Technology, Chevalla",3
Pravara college of Pharmacy,3
Dr B R Ambedkar National Institute Of Technology,2
PYDAH COLLEGE OF ENGG AND TECH,3
Sree chaitanya Degree college ,3
Mahatma Jyoti Rao Phoole University ,3
GNITS ,2
Velagapudi Ramakrishna Siddhartha Engineering College,2
"Glocal University Mirzapur, Saharanpur, UP",3
"International Institute of professional studies, DAVV",2
Sciences Po and UCL,1
"Shanmugha Arts, Science, Technology and Research Academy",2
Sanghvi Institute of Management & Science,3
"Meenakshi Sundararajan Engineering College , Kodambakkam",3
"Kaveri College of Arts, Science and Commerce",3
"National Institute of Technology, Karnataka",2
Angadi Institute Of Technology And Mgmt.,3
"Institute of Engineering, Pulchowk Campus",2
DNR college,3
DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,2
"Hansraj college, University of Delhi, New Delhi",2
The University of Auckland,1
panimalar engineering college,3
MITCOE ,2
intell engineering college,3
Fr. Conceicao Rodrigues College of Engineering,3
bhagwan parshuram,3
KBP COLLEGE OF ENGG. SATARA,3
Matoshri college of engineering and research centre ,3
Presidency university,2
VVIT,3
Dr.mahalingam College Of Engineering And Technology,2
the LNM institute,2
Rashtriya Vidyala College of Engineering,2
Vallurupalli Nageshwar Rao Vignana Jyothi Institute of Engineering and Technology,2
"CSPIT,CHARUSAT",2
Madhuben and Bhanubhai Patel Institute of Technology - CVM University,3
Trp Engineering College,3
pune district education association college of engineering,3
Trinity Institute of Technology & Research,3
bhanuben nanavati college of architecture,3
G H PATEL COLLEGE OF ENGINEERING ,2
ACE Engineering College,3
Vidyavardaka college of engineering,3
Sethu Institute of Technology,3
mats university,3
Suresh Gyan Vihar University,3
"St Andrew's College of Art's, Science and Commerce ",3
Dr.MGR Educational and research university,3
"Yadavrao Tasgaonkar College Of Engineering And Management , Bhivpuri",3
Texas & M University ,1
"University of Lagos, Akoka",2
Sri Venkateswara Engineering College,3
"university of texas A & M university - kingsville 
",3
University of Arizona,2
RMD Sinhgad ,3
Gujarat technological university,3
sample,3
GNITS,2
Kl University,2
Government Dental college and hospital ,3
Government Science College,3
university of engineering and technology,3
Laki Reddy Bali Reddy Collage of Egineering,3
Arihant School Of Pharmacy &BRI,3
King Saud University ,2
St. Berchmans college,3
"Sandip Institute Of Technology And Research Centre, Nashik.",3
"Mahatma gandhi University, nalgonda",3
gh raisoni college of engineering nag,2
military institute of science and technology,2
Pacific dental college & hospital,3
Padamasri Dr B V Raju Institute of technology,2
"NATIONAL INSTITUTE OF TECHNOLOGY, SRINAGAR",2
"College of Technology, Govind Ballabh Pant University of Agriculture & Technology, Pantnagar",2
"Dr.Babasaheb Ambedkar College of Engineering and Research,Wanadongri,Nagpur",3
Ace engineering college,3
Indian Institute of Information Technology Sricity,2
priyadarshini college of enginneering an technology,3
sri venkateswara,3
vignana bharathi institute of technology,3
MKHS gujrati girls college indore ,3
"KC College Of Engineering And Management Studies And Research, Kopri",3
"Dr. B. C. Roy Engineering College, Durgapur",3
CMR Engineering College,3
wichita state university,2
PB Siddhartha College of Arts and Science ,3
Karpagam University,3
Gandhi institute of technology and management,2
sinhgad institute of technology,3
SAIMS medical college & PG institue,2
Maharishi Arvind College of Engineering & Research Centre,3
Ramanand Arya D.A.V college,3
Jaipur Dental College,3
RMD ENGINEERING COLLEGE,3
Nottingham Trent University,2
School of engineering and applied science,3
university of calicut,2
A.P.SHAH INSTITUTE,3
BHASKAR PHARMACY COLLEGE,3
"national institute of engineering,mysore",2
G. B. Pant Engineering College,2
Visvesvaraya National Institute Of Technology,2
P.T.V.A Sathaye College,3
university of New Haven,2
LATE SHRI VISHNU WAMAN HARI VIVA INSTITUTE OF TEHNOLOGY,3
Sikkim Manipal Institute of Technology,2
Kirori Mal College,1
"Sri Sunflower College of Engineering and Technology, Machilipatnam",3
Nawab Shah Alam Khan College Of Engineering And Technology,3
Devi Ahilya Vishwavidayalaya,2
middle east technical university,2
pranveer singh institute of technology kanpur uttar pradesh,3
Murdoch University,2
St. Vincent Pallotti College of Engg. and Tech.,3
Florida Atlantic University,2
K. J. Somaiya College of Science and Commerce,2
Sidharata Women's degree college,3
Cotton College,2
srm university,2
Manipal Academy of Higher Education- Dubai,2
Galgotias University,2
allana college of architecture,3
sri ramswaroop memorial college of engineering and management ,3
Baldev Ram Mirdha Institute of Technology,3
"vishnu institute of technology,bhimavaram",3
Miranda House,2
"College Of Engineering,Chengannur",3
Asmita College of Architecture,3
dr.batu,2
"Shri Gulabrao Devkar College Of Engineering, Jalgaon",3
rajiv gandhi institute of pe,3
School of engineering and applied Sciences,3
"MGM college of engineering and technology,kamothe,navi mumbai",3
Comsats institute of information technology,2
"bapurao deshmukh college of engg, sewaram",3
SSDGCT's Sanjay Ghodawat Group of Institutions,3
Aurora's Design Academy ,3
Dr MGR EDUCATIONAL AND RESEARCH UNIVERSITY,3
NMAM Institute of Technology ,2
Sri venkatewsara university college of engineering,2
km agarwal college,3
Maria College Of Engineering and Technology,3
Acharya Institute of technology Bangalore ,3
Sri Satya Sai College of Engineering,3
Manipal college of pharmaceutical sciences,2
Coventry University,2
Smt. Sulochanadevi Singhania School,3
kallam haranadhreddy institute of technology,3
Jhulelal Institute of Technology,3
G Narayanamma Institute Of Technology And Science For Women,3
SRI SAI JYOTHI ENGINEERING COLEGE,3
Gayatri Vidya Parishad College of Engineering(A),2
L. D. College of Engineering,2
"amity university rajasthan, Jaipur",2
Acharya Institute of technology,3
Gayatri Vidya Parishad College For Degree And PG,3
"st marys college , yusufguda ",3
JBREC,3
DSCE,2
svpcet,3
carnegie mellon university,1
UIET panjab university,2
The icfai university,2
K J Somaiya Institute of Engineering and Information Technology,2
iiser kolkata,1
Deogiri Institite of engineering and management studies,3
College of Technology,3
kamaraj college of engineering and technology,3
"RAjiv Gandhi Institute of Technology, Kottayam",3
Future Inst of Engg and Mgmt,3
Amity university lucknow ,2
Bits Pilani Dubai Campus,2
Symbiosis School Of Economics ,2
Sinhgad College of Commerce,3
ICFAI TECH SCHOOL,2
PB siddhathrtha Arts and Science ,3
Texas A&M University-Commerce,3
SJC Institute Of Technology,3
"Dr. Babasaheb Ambedkar Technological University, Lonere",2
Vigana bharathi institute of technology,3
Lowry memorial college,3
National Institute of Technology Warangal ,2
xxii,3
VIIT,2
NBN SINHGAD COLLEGE OF ENGINEERING,3
Jayamukhi Institute Of Technological Sciences,3
MIT School of Bioengineering Sciences and Research,3
New Jersey Institute of Technology,2
JNTUH-CEJ,2
Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology,3
Gyan Ganga Institute of Technology & Management,3
K S School of Business Management,3
karmavir dadasaheb kannamwar ,3
Mahathma Gandhi University ,2
Islamic University of Technology,2
"University college of engineering,osmania university",2
Annie besant Womnens College ,3
RCC Institute of Information Technology,2
"Sardar Vallabhbhai Patel Institute of Technology, Vasad",3
Vishveshwarya Institute of Technology,3
"Sri Venkateswara University, Tirupati",2
VCET,3
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,3
saint luois university ,2
Zhejiang University of Science and Technology,2
Swami vivekanand education society institute of technology,3
Visvesveraya Technological University Bangalore ,2
saraswati dental college,3
Anna University,2
PVP Siddhartha Institute Of Technology,3
"Manipal U, Jaipur",2
khulna university of engineering & technology,2
Delhi Public School,3
MS Ramaiah College of Arts Science and Commerce,2
Shankara International School of Management & Research,3
"Faculty of Engineering, Ain Shams University",2
mrec,3
Faculty of Engineering & Technology  JRN Rajasthan Vidyapeeth,3
"University Institute of Technology, RGPV",2
srkr engineering college ,3
Osmania university ,2
VIGNAN INSTITUTE OF PHARMACEUTICAL TECHNOLOGY ,3
Modi Institute of Technology,3
san francisco state university,2
"bhilai institute of technology,durg",2
Amirkabir university of technology,2
harvard,1
Shankersinh Vaghela Bapu Institute of technology,3
Indian Institute of Information Technology Dharwad ,2
Sri padmavati mahila University,3
"QIS college of Engineering and Technology, Ongole",3
Sreenidhi Institute Of Science And Technology,3
Pandit Deendayal Petroleum University,2
Indraprastha Institute of Information Technology,2
"college of engineering, trivandrum",2
uncc,2
gitam university,2
university of kerala,3
"Atharva College Of Engineering, Malad, Mumbai",3
"Jawaharlal Nehru Institute Of Technology, Hyderabad",3
University of New Hampshire,2
NUCES FAST,2
SSJ Engineering College,3
gayatri vidya parishad college of engineering for womens,3
sreendhi institute of science and technology ,3
vivekand education society's institute of technology,3
"padmashree dr. DY patil institute of engineering, management and research",3
"Government dental college and hospital, vijayawada",3
university of Leeds,1
gmit davangere,3
Technical University of Varna,3
Vivekananda Global University,3
"Sardar Vallabhbhai Institute of Technology , Vasad",3
Sammilani Mahavidyalaya,3
MIT Institute of Design,3
KS school of engineering and management,3
R.R dental college and hospital ,3
s.r engineering college,3
Gandhi Institute for Technological Advancement,3
mahatama gandhi collage of engineering and technology,3
Rmd engineering college,3
A.B.U,2
Sinhgad institute of technology,3
RBVRR WOMEN'S COLLEGE,3
Terna Engineering College,3
"Birla Institute of Technology & Science, Pilani - Dubai Campus",2
The national institute of engineering,2
University of The Gambia,3
Marudhar Engineering College,3
Sanjay ghodawat university ,3
M.S.Ramaiah Institute Of Technology ,2
Institute of Information Technology & Management,3
"ICFAI , Hyderabad",2
DVR&Dr.HS mic college of technology ,3
Vishweshwaraya Technological Universuty,2
Sri Krishna college of engineering and technology,3
Indian institute of Science,1
Hislop College,3
MH Saboo Siddik College Of Engineering,3
"d y patil college of pharmacy,akurdi,pune",3
bharati vidyapeeth medical college ,2
Fr.Conceicao Rodrigues College Of Engineering,2
Cvr College Of Engineering,3
maharshi dayanand university,2
S.J.C.Institute of Technology,3
Mamata medical college ,3
Dr Dy Patil Dental college and Hospital Pimpri Pune,3
St. Francis College for Women,3
RVCE,2
"Gujarat University , Ahmedabad",2
Indian institute of Information Information technology Pune ,2
choudhary charan singh university,2
Symbiosis Centre for Management Studies,2
DAVAO MEDICAL SCHOOL FOUNDATION,3
"gharda Institute of Technology,khed",3
Malla reddy institute of dental sciences,3
"SSPM College Of Engineering, Kankavli",3
"Faculty of technologies and engineering, the maharaja sayajirao university of baroda.",2
Krishna Institute of Medical Sciences Deemed University,2
ballarpur instute of technology,3
Al Akhawayn University,2
pdm group of institutions,3
FALTU,3
IIT Ropar,1
Sakar English School,3
NSV Degree College,3
Rajiv gandhi pr,3
CET,3
"Government College of Engineering, Karad",2
"Govt. Engineering College, Aurangabad",2
JNTUHUCEH,2
Ckpithawala engineering and technology ,3
"National  Institute  of Technology, Trichy",2
NIT Mizoram,2
Maeers College of PhysioTherapy,3
S.P.B Patel Institute of Technology,3
 Itm university,2
Bharati Vidyapeeth Dental College,2
Poornima Institute of Engineering & Technology,3
"University Of California, Santa Cruz",2
birla college of arts commerce and science,3
The LNM Institute of Information Technology,2
Ramnarain Ruia college,2
Sinhgad Institute of Pharmaceutical sciences ,3
"Alvas pu college,moodbidri",3
Sri Indu Institute of Engineering and Technology,3
R.V. College Of Engineering,2
ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,3
Arjun College Of Technology And Sciences,3
Kavikulguru Institute of technology and science,3
Nirmala College Of Pharmacy,3
Chaudhary Charan Singh University,3
MADANAPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,3
"JNTU College of Engineering, Hyderabad",2
St Joseph degree college,3
bharatiya Vidya bhavans ,3
"Audisankara College of Engineering & Technology, Gudur",3
Royal School Of Engineering and Technology,3
peoples educational society college of engineering,3
Jntuk uce vizianagaran,2
"GITAM, Hyderabad ",2
Kalyani Government Engineering College,2
R.A.Podar College of Commerce and Economics,2
c k pthawala,3
government college of engineering and research avasari,2
Sri Ramakrishna dental college and hospital ,3
"The Maharaja Sayajirao University, Baroda",2
"Dr. D. Y. Patil School Of Engineering and Technology, Charholi, lohegaon, pune., Pune",3
Maharashtra institute Of Technology - WPU ,2
"Government institute of forensic science, nagpur",2
Srichaitanya Technical Campus,3
Haldia Institute of Technology,2
BITS Pilani- Dubai,2
University of illinois springfield,2
LJIET,3
siddhpur dental college,3
PVPPCOE,3
The University of North Carolina at Charlotte,2
IGNOU,3
University of engineering and technology lahore,2
"Guru Nanak Institute Of Technology, Hyderabad",3
mrcet,3
Mahatma Gandhi Institute Of Technology,3
"Prof. Ram Meghe Institute Of Technology And Research, Badner",3
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,2
Gayatri Vidya parishad school of engineering,3
Rajasthan Institute of Engineering & Technology,3
School Of Technology-GSFC University,3
SRM University ,2
Federal institute of sciene and technology,3
Dr.D Y Patil college of engineering,3
Channa Basaveshwara Institute Of Technology,3
Nitte Meenakshi institute of technology,2
Sri Indu College Of Engineering And Technology,3
"UNIVERSITY COLLEGE OF ENGINEERING, OSMANIA UNIVERSITY, Hyderabad",2
IIT Indore,1
C.V. Raman College of Engineering,2
"SNDT's Usha Mittal Institute of Technology , Santacruz",2
Poornima Group of Institutions - Faculty of Engineering & Faculty of Management,3
Vizag Institute of Technology,3
Maharani Lakshmi Ammanni College for Women,3
marist college,2
JSS Medical college ,2
Priyadarshini college of engineering nagpur,3
K.L.E. Institute of Technology,2
"MARINE ENGINEERING AND RESEARCH INSTITUTE, KOLKATA",2
SVCE,3
sam higginbotom,3
southeast university,1
Rastrasant Tukodoji Maharaj Nagpur University,2
G.H.PATEL COLLEGE OF ENGINEERING ,2
"L.J.I.E.T., Ahmedabad",2
Govt. Mahila Engineering College,2
"Ramniranjan, jhunjhunwala",2
dav college Jalandhar,2
shivajirao jhondle,3
Sinhgad college of architecture,3
Brindavan Institute of Technology & Science,3
"Misrimal Navajee Munoth Jain Engineering College , Thoraipakkam",3
J.J. Coll,3
"Ashoka University, Sonipat",1
V.J.T.I.,2
Amity University Haryana,2
RIMT IET,3
B.H.Gardi Collage of engineeringand technology Rajkot,3
D G Vaishnav ,2
vignan pharmacy college,3
SJB School of Architecture and Planning ,3
"Sinhagad Institute Of Technology, Lonavala",3
R.M.K.Engineering College ,2
Rajarajeshwari Dental College and Hospital,3
Brindavan college of Engineering,3
Padm.dr.dy patil college of pharmacy pimpri,3
Sv College of Engineering,3
rcoem,2
IPSA,3
"K L S Gogte Institute Of Technology, Belgaum",2
Ashoka University,1
Acharya NG Ranga agricultural University,2
DJ Sanghvi college of engineering ,2
CMP Homeopathic Medical Collegea,3
University Arts and Science ,3
Apex Group of Institutions,3
Sai Spurthi Institute Of Technology,3
st pious X degree college for women,3
Heritage Institute of Technology,2
Sardar Patel university anand,2
DATTA MEGHE COLLEGE OF ENGINEERING,3
Malnad College of Engineering Hassan,2
RUSTAMJI INSTITUTE OF TECHNOLOGY,3
Government Engineering College Barton Hill,2
VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE,2
G.H.Raisoni Academy Of Engineering And Technology,3
Vidyavardhaka College of Engineering,3
St. Mary's College,3
Balaji Institute Of Technology And Science,3
NIE institute of technology ,3
gate degree & pg college,3
Uka Tarsadia University,3
Thiagarajar college of Engineering,2
Narsee Monjee College of Commerce and Economics,2
"Modern College , Shivajinagar",3
harcourt butler technological institute,2
Mvsr Engineering college,2
qassim,3
meenakshi sundarararajan,3
Jayaprakash Narayan College Of Engineering,3
"bapatla engineering college,bapatla",2
khulna university of engineering & technology ,2
Sagar Institute of Research & Technology,3
"Govt. engineering college,bikaner",2
sir c r reddy college of engineering,2
Gokraju rangaraju institute of engineering and technology,2
Portland state university ,2
UNIVERSITY OF JAMMU,2
Srinivasa Ramanujan Institute of Te...,3
Sir J.J College Of Architecture,2
Vinayaka Mission University,3
university of pune,2
"Padmashri Dr. vithalrao vikhe patil college of engineering ,Ahmednagar ",3
Tamil Nadu Agricultural University ,2
Pace Institute Of Technology & Sciences,3
Pallavi engineering college,3
konaseema institute of medical sciences and RF,3
MANAV RACHNA INTERNATIONAL UNIVERSITY,3
dav institute of engineering and technology,3
Syracuse University,2
d.j.sanghvi college of engggineering,2
KAMALA NEHRU COLLEGE ,2
KLE BMK Ayurvedic College and Research Centre,3
Madras Institute Of Technology,2
CGC College of Engineering,3
University of Memphis,3
"MKSSS's Cummins College Of Engineering For Women, Karvenagar",2
Andhra University College of Engineering,2
MGMCET,3
Shri Shankracharya group of institutions ,3
"GITAM University , Visakhapatnam",2
Abc,3
Arya College of Engineering & Information Technology,3
Maeer's arts commrce and science college,3
osmanina University,2
GEETHANJALI COLLEGE OF ENGINEERING AND TECHNOLOGY.,3
University of Adelaide,1
"Shivnagar Vidya Prasarak Mandal's College Of Engineering, Malegaon-Baramati",3
perdue university,1
"Adekunle Ajasin University, Akungba-Akoko, Ondo State, Nigeria",3
St.Mary's college of engineering and technology ,3
SEMCOM ,3
MLR Institute Of Technology,3
"Marathwada Institute of Technology,Aurangabad",3
Amity University Madhya Pradesh,3
aissms coe pune,2
fr agnel,2
AISSMS COE,2
KIT's College Of Engineering,2
indian institute of information technology vadodara,2
"University of Calgary, Calgary",2
CBIT,2
kmit,2
Chatrapati Shahuji University ,3
Mahatama Jyoti Rao Phoole University ,3
ABV-Indian Institute of Information Technology and Management Gwalior,2
Mount Zion college of Engineering,3
Regional College for Education  Research & Technology,3
wesley degree college,3
symbiosis skills and professional university,3
Cochin University College Of Engineering Kuttanad,2
NIIT University,2
Marri Laxman Reddy  Institute Of Technology And Management,3
"government college of engineering, salem",2
"Indian Institute of Information Technology, Chittoor",2
shri vishnu engineering college for women,2
Northwest Missouri state university,3
VIT Chennai ,2
Kandula srinivasa reddy memorial college,3
"Government engineering college, Gandhinagar",2
VNIT Nagpur,2
"Shree Ramchandra College Of Engineering, Lonikand",3
DY Patil Navi mumbai ,2
WBUT,3
Ballari Institute Of Technology and Management ,3
M. S Ramaiah Institute of Technology ,2
"SSN College of Engineering , Chennai",2
Krishna Institute of En,3
"J T MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR",3
Dr.B.V.Raju institute of technology,2
Universiti Tenaga Nasional,2
College of Architecture Trivandrum,3
Indian Institute of Information Technology Allahabad,1
the oxford college of engineering,3
Sri Ramakishna Engineering College . ,3
Kathmandu Engineeirng College,3
lokmanya tilak jan sanstha shiksha priyadarshini college of engineering,3
LDRP-ITR,3
Saroj Mohan Institute Of Technology ,3
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1
Shree Rayeshwar Institute of Engineering and Information technology ,3
Garden City University College,3
Gojan School Of Business and Technology,3
rivier university ,3
"Gayatri vidya parishad college of engineering for women,visakhapatnam",3
NIT Durgapur,2
B. V. Raju Institute of Technology,2
Dharamsinh Desai University,2
Lokmanya Tilak College of Engineering ,3
"Nowrosjee Wadia  College, PUNE",3
MIT,1
adi kavi Nannaya university,3
WIT Solapur,3
Indian Institution of industrial engineering,3
"SRM institute of science and technology, Chennai",2
"AC Patil College Of Engineering, Kharghar",3
Avanthi institute of pharmaceutical sciences ,3
Dr Mahalingam college of engineering and technology,3
pace university ,2
Pandit Deendayal Energy University ,2
Vels University,3
Shri gujrati Innovative College of Commerce and Science,3
Thapar University ,2
"college of engineering, guindy",1
Pimpri Chinchwad College of engineering,3
FR CONCEICAO RODRIGUES INSTITUTE 0,3
korea national open university,3
Dibrugarh university,3
parul,3
"Indian Institute of Technology,Varnasi",1
Rajasthan Technical University,3
Vidyalankar Institute of Technology,3
UNIVERSITY OF DELHI,1
Maulana Azad National Institute of ...,2
MSS public school,3
Vindhya Institute of Technology & Science,3
Invertis University Bareilly,3
shaheed udham singh college of engineering and technology,3
vip international school,3
Texas State University,2
Hindustan University - Hindustan Institute of Science & Technology,3
The Aeronautical Society Of India,3
Imperial College,1
"ideal institute of technology,kakinada",3
B.V.B. College of Engineering and Technology,2
ideal degree college for women,3
Yellamma Dasappa Institute Of Technology,3
National University of Sciences & Technology Islamabad Pakistan,2
"L.D. College of Engineering, Ahmedabad",2
Fr.c Rodrigues institute of technology ,3
SRM Institute of Science and Technology,2
gdbj,3
Genba Sopanrao Moze College Of Engineering,3
Purdue University,1
SRM ,2
Federal University of Technology Akure,2
P. R. Patil college of Architecture,3
kk wagh college nashik,3
st josephs college of engineering,3
SIST,3
President University,3
YMCA University of Science and Technology,2
KL University Hyderabad,2
"Government Tool Room And Training Centre, Bengalooru",3
"Sinhgad Institute of Technology, Lonavala",3
Avanthis Scientific Technological And Research Academy,3
SRK UNIVERSITY,3
"Shivajirao S. Jondhale College Of Engineering & Technology, Asangaon",3
National Rail and Transportation Institute,2
padmashree dr vitthalrao vikhe patil college a.nagar,3
Bhojia Dental College & Hospital,3
Professor Jayashankar Telangana State Agricultural University,2
Symbiosis Institute Of Technology & Science,2
Bharti Vidyapeeth College of Engineering,3
Rajshahi University of Enginnering & Technology,2
sfit,3
"JSPM's Imperial College Of Engineering And Research, Wagholi",3
"APJ abdul kalam technological University, Kerala ",2
"MPSTME, NMIMS University",2
"Dayananda Sagar College of Engineering, Bangalore",2
Bharti Vidyapeeth college ,3
"Federal polytechnic, Ilaro",3
The National Institute of Engineering Mysore ,2
"California State University, Los Angeles",2
university school of chemical technology,3
Gurgaon Institute Of Technology And Management,3
Skn sinhgad college of engineering pandharpur ,3
kaloji Narayan Rao University of Health sciences,3
"Institute of Engineering, Tribhuvan University",2
"Govt Rajiv Gandhi Institute Of Technology , Kottayam",3
"Indian school of mines,Dhanbad",1
R V College of Engineering,2
shobhit institute of engineering and technology,3
jsps govt homoeo medical college,3
Krishnamurthy Institute Of Technology And Engineering,3
Khaja Banda Nawaz College Of Engineering,3
SSBT COET,3
"Indian Institute of Information Technology ,",2
IIITDM KURNOOL,2
centurion university of technology and management,3
"Delhi Public School, Vasant Kunj",3
NNN ,3
D.E.S. College of Physiotherapy,3
jnafau,3
"ViMEET, khalapur",3
"College of Engineering , Trivandrum",2
Swinburne University of Technology ,2
Lakireddy Bali Reddy College Of Engineering,3
University of Ghana,2
kishinchand chellaram college,3
National Institute of Technology Tiruchirappalli,1
LJ INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
Mahindra Ecole Centrale,2
Janki Devi Memorial College ,3
"siddarth institute of engineering and technology,puttur",3
"Pondicherry University, Pondicherry ",2
NIT Jamshedpur,2
guru nanak dev engineering college,3
NIEIT,3
Sophia College For Women,3
Saint Francis ,3
Alpha College Of Engineering,3
K J Somaiya college of engineering vidyavihar,2
"Mallareddy College Of Engineering and technology, Hyderabad",3
B M S College of engineering,2
"Gharda Institute Of Technology, lavel, ratnagiri",3
Gandhi institute of engineering and technology,3
state university of Bangladesh,3
hindusthan college of engineering and technology.,3
"Dhaanish Ahmed College of Engineering , Padappai",3
The University of Alabama in Huntsville,2
Sri Sai Aditya Institute Of science and technology,3
Sree Sakthi Engineering College ,3
NRI Institute Of Technology,3
University of Engineering and Technology Lahore,2
Marwadi University,3
B.V.R,3
JIET School of Engineering & Technology for Girls,3
amity university rajasthan,3
Pillais college of Engineering and Technology,3
KLS Gogte Institute Of Technology,3
university of North Texas,3
yadavrao tasgaonkar institute of engineering and technology,3
University of New South Wales,1
"Maeer's Arts, Commerce and Science College",3
Mahatma Gandhi Mission College of Engineering And Technology,3
JIIT,2
King Mongkut's University of Technology Thonburi,2
Chitkara University ,3
Dhanalakshmi Srinivasan College of Engineering and Technology,3
Panineeya dental college ,3
Lokmanya Tilak institute of architecture and design studies,3
Univ of Myongji,2
"Dr. D Y Patil, School of Engineering and Technology.",3
pace,3
Shobhit University,3
Sardar Patel Inst. of Tech. & Mgmt.,3
ABES Institute of Technology,3
"Universal College Of Engineering ,kaman road,vasai",3
ISDI PARSONS ,1
BVCOEW,3
IIT Jammu,1
Mohamed Sathak A.J. Academy of Architecture,3
Sri Krishna College of Engineering and Technology,3
Prof.Ram Meghe Institutions Of Technology And Research,3
Mahatma Gandhi Institute of Engineering & Management,3
Sri Krishnadeveraya University College of Engineering And Technology,3
"JNTU college of engineering,jagtial",3
"institute of technology and management,gwalior",3
GSSS Institute Of Engineering And Technology For Women,3
PDPM IIITDM Jabalpur,2
"Brihan Maharashtra College of Commerce, Pune",3
Maharaja Vijayaram Gajapathi Raj College of  Engineering,3
"mit,manipal",2
Loyola college ChennaI,2
Loyola Institute Of Technology And Management,3
SRK institute of technology,3
Sinhgad College Of Science,3
NIT Agartala,2
Neil Gogte Institute of Technology,3
Sir C.R REDDY College of Engineering ,3
BIET,3
G. H. Patel college of engineering and technology,3
University of Massachusetts Boston ,3
"Maharastra Institute of Technology , Pune",3
New Prince Shri Bhavani College of Engineering & Technology,3
Indian Institute of Management and Commerce ,3
Cochin University of Science and Technology ,2
IIITDM ,2
M B M Engineering College,2
Dharamsi Desai institute of technology,3
PVPSIT,3
aliet,3
devi ah,3
kkw collge of engineering ,3
King Faisal University,2
SNDT Shreemati Nathibai Damodar Thackersey Women's University,2
jawaharlal Nehru Technological University Hyderabad,2
Southern International Hotel Management Academy,3
Tier 3 College ,3
walchand Institute of Technology,2
U V PATEL COLLEGE OF ENGINEERING,3
Sage University,3
"Choithram School, Manik Baugh",3
Medicaps Institute of Technology and Management ,3
CT University,3
Vignan's Institute Of Information Technology,3
Suryadatta Institute of vocational and advanced studies,3
Parsons School of Design,1
jss,3
Indian Institute of Information Technology and Management,2
Malnad College Of Engineering,3
St vincent Pallotti college of engineering and technology,3
"JSCOE,Hadapsar ,Pune",3
Tata Institute of Social Sciences,1
"mahindra ecole centrale, Hyderabad",2
Thakur college ,3
Anand commerce college,3
BVRIT Hyderabad College of Engineering for Women,3
does it matter,3
Sandip School Of Commerce and Management Studies,3
"aditya college of engineering,madanapalle",3
Auroras Engineering College,3
RNS Institute of Technology,3
SSN College of Engineering ,2
"Bharati Vidyapeeth's College Of Engineering For Women, Katraj",3
"Vignans institute of information technology, Visakhapatnam",3
"KCG College of Technology , Karapakkam, OMR",3
Swarnandhra college of engineering and technology,3
Mukesh Patel School of Technology and Management Engineering,2
